RGIId,lon,lat,do_we_have_an_observation_in_middle_fifth,Frontal_ablation_2000_to_2010_gt_per_yr_mean,Frontal_ablation_2000_to_2010_gt_per_yr_mean_err,Frontal_ablation_2010_to_2020_gt_per_yr_mean,Frontal_ablation_2010_to_2020_gt_per_yr_mean_err,Number_of_children
RGI60-05.07661,-64.10237671,76.30187611,0,0.00315033,0.002460154,0.007417372,0.002862289,0
RGI60-05.07663,-64.13970251,76.2352048,0,0.00249598,0.001735499,0.001966929,0.001063435,0
RGI60-05.07801,-66.71104147,76.0046374,0,0.006635128,0.005947925,0.00526569,0.003728485,0
RGI60-05.07807,-67.06495037,75.99359586,0,0.001159483,0.000890041,0.002823005,0.001660831,0
RGI60-05.07812,-66.62738712,75.98410123,0,0.004416651,0.003055118,0.003382723,0.002017586,0
RGI60-05.07816,-66.5589411,75.96294924,0,0.001425232,0.001114154,0.000757003,0.000832153,0
RGI60-05.08013,-70.51898345,77.21344512,0,0.000112869,0.000140839,7.31E-05,8.20E-05,0
RGI60-05.08015,-69.94251536,77.22876059,0,0.001185809,0.000899961,0.00112725,0.000768119,0
RGI60-05.08020,-70.12868652,77.23690837,0,0.000170333,0.000331773,9.18E-05,0.000123535,0
RGI60-05.08041,-69.33558534,76.99293734,1,0.085511393,0.019236773,0.117527308,0.010367057,0
RGI60-05.08054,-67.85995005,76.72557507,1,0.033423963,0.010854663,0.028843103,0.013853689,0
RGI60-05.08057,-68.36305836,76.69994115,1,0.006681192,0.004519944,0.003568073,0.002443077,0
RGI60-05.08065,-69.23053098,77.20047222,0,0.001555332,0.001011027,0.001392383,0.001011864,0
RGI60-05.08115,-72.05480273,77.34602116,0,0.001427278,0.000808426,0.001572406,0.000906188,0
RGI60-05.08116,-72.20386439,77.43538071,0,0.001700905,0.001320308,0.001737464,0.001229959,0
RGI60-05.08118,-72.00884859,77.4291548,0,0.000714074,0.000682662,0.000469655,0.00046323,0
RGI60-05.08390,-63.59332237,80.92047039,0,0.014925268,0.006934486,0.006914008,0.004771242,0
RGI60-05.08443,-62.26423302,81.0838198,0,0.006356649,0.002837176,0.007370587,0.003197115,0
RGI60-05.08444,-63.25074309,80.86751289,0,0.004826941,0.002990923,0.003823664,0.002893513,0
RGI60-05.08674,-22.10075535,75.44812237,1,0.000115214,0.000117042,0.000110356,0.000107413,0
RGI60-05.08727,-22.17950167,75.62148621,0,0.000173953,0.000191482,0.000138131,0.000159987,0
RGI60-05.09267,-21.21286579,76.00029659,0,7.29E-05,9.38E-05,0.000107797,0.000135106,0
RGI60-05.09428,-21.78950691,76.4215203,0,0.000410621,0.000405592,0.002215504,0.001328255,0
RGI60-05.09569,-18.93608075,77.18778777,0,0.00230965,0.002515996,0.000779611,0.000676633,0
RGI60-05.09578,-19.5298814,77.73182087,0,1.48E-05,0.000285457,0.000309884,0.000292944,0
RGI60-05.09689,-17.92812992,79.10997709,0,0.007861501,0.003934364,0.000924082,0.000847479,0
RGI60-05.09694,-19.7847153,79.19987405,0,0.001641334,0.001408627,0.001577567,0.000651593,0
RGI60-05.09726,-19.44164711,80.16796796,0,0.000338844,0.000298367,0.000299148,0.000322768,0
RGI60-05.09801,-18.57280981,80.02486049,0,0.004077251,0.002579219,0.002182328,0.002545151,0
RGI60-05.09802,-18.74306278,80.02563408,0,0.001252019,0.001754232,0.003018688,0.002214969,0
RGI60-05.09804,-17.74043741,79.7844962,0,0.013113186,0.013909499,0.009675132,0.005117612,0
RGI60-05.09805,-19.25116375,79.99987296,0,0.000129066,0.000121258,4.99E-05,8.06E-05,0
RGI60-05.09806,-19.41339175,79.98650548,0,0.000236156,0.000256976,0.000579359,0.000361725,0
RGI60-05.09810,-19.59096418,79.97191643,0,0.000499573,0.000254851,0,0,0
RGI60-05.09814,-19.74863566,79.92783993,0,0.000446354,0.000336152,0.00010191,0.000209055,0
RGI60-05.09826,-17.65230503,80.0725459,0,0.000200147,0.000284997,0.000195318,0.000180703,0
RGI60-05.09830,-19.79855172,79.89360887,0,0.000227683,0.000199767,0.000147571,0.000175054,0
RGI60-05.09832,-17.57893048,79.8558184,0,0.009964614,0.007564465,0.001898224,0.001359695,0
RGI60-05.09834,-18.33554728,79.70769834,0,0.001955104,0.001540874,0.002606091,0.001573531,0
RGI60-05.09836,-17.41243944,80.00096928,0,0.008763985,0.00671203,0.009301247,0.006629883,0
RGI60-05.09838,-17.80933829,80.07229842,0,0.001065806,0.001265605,0.001123202,0.001187916,0
RGI60-05.09840,-18.75152861,79.73978929,0,0.000678385,0.001501822,0.001359988,0.00094206,0
RGI60-05.09904,-18.25946034,80.49750955,0,3.83E-05,0.000225897,7.31E-05,0.000115132,0
RGI60-05.09912,-18.43210399,80.5204188,0,6.15E-05,9.83E-05,0.000115472,0.000190185,0
RGI60-05.09915,-18.85690261,80.5375299,0,0.136901721,0.009660961,0.104076371,0.011297831,0
RGI60-05.09918,-18.61837707,80.526532,0,8.21E-05,0.00014,0.00020145,0.000271,0
RGI60-05.09921,-19.68476483,80.55458182,0,0.000250868,0.000244859,0.000280254,0.0003397,0
RGI60-05.09943,-19.60034859,80.22661811,0,0.000351292,0.000400879,0.000722247,0.000467566,0
RGI60-05.09951,-19.73361049,80.1887682,0,0.000299659,0.000274884,0.000259171,0.000270024,0
RGI60-05.09955,-20.06665387,80.11020093,0,0.000138557,0.000156812,0.000144099,0.000203285,0
RGI60-05.09958,-19.34745356,80.2626038,0,0.004024189,0.002427235,0.003401982,0.001806444,0
RGI60-05.09964,-19.20467003,80.59081073,0,0.00011412,0.000134542,9.07E-05,0.000106043,0
RGI60-05.09992,-16.43608149,80.47130597,0,0.01109799,0.009892367,0.013131298,0.006873258,0
RGI60-05.09996,-17.4839228,80.48194183,0,0.0035979,0.00564203,0.002727874,0.002793234,0
RGI60-05.09997,-16.61317131,80.2059933,0,0.000273296,0.000543582,0.000956806,0.000619639,0
RGI60-05.10312,-29.04544464,81.94490494,0,0.005402475,0.004253562,0.006361291,0.004622937,0
RGI60-05.10313,-28.60642968,81.99184903,0,0.001134455,0.000897109,0.001770114,0.00091651,0
RGI60-05.10315,-14.37246065,81.50603565,1,1.132492186,0.671208487,0.292855558,0.232454851,0
RGI60-05.10324,-17.87481909,80.59635018,0,0.002136101,0.00139475,0.002221402,0.001192702,0
RGI60-05.10347,-19.44469557,80.66464169,0,0.031522132,0.007849803,0.026251465,0.006111145,0
RGI60-05.10352,-18.72838926,80.61399932,0,0.000497316,0.000415706,0.000280073,0.000339531,0
RGI60-05.10361,-17.37478409,80.73482399,0,0.016792583,0.015270923,0.029654888,0.029768716,0
RGI60-05.10363,-17.48006173,80.66018,0,0.006560636,0.007156386,0.004302792,0.003661603,0
RGI60-05.10377,-52.07107561,81.76771529,0,5.52E-05,8.30E-05,3.31E-05,5.60E-05,0
RGI60-05.10522,-49.83803044,82.36402495,0,0.000322637,0.000388019,6.05E-05,0.000105496,0
RGI60-05.10531,-46.11018583,82.45160938,0,0.000301688,0.000273822,0.000199491,0.000229045,0
RGI60-05.10536,-51.72099803,82.3584302,0,0.00177536,0.000895606,0.001214826,0.000673108,0
RGI60-05.10537,-51.5982446,82.33680357,0,0.012784514,0.005695783,0.008188747,0.003162537,0
RGI60-05.10538,-51.56596025,82.1702263,0,0.000537424,0.000505649,0.000220209,0.000404617,0
