,lon,lat,do_we_have_an_observation_in_middle_fifth,Frontal_ablation_2000_to_2010_gt_per_yr_mean,Frontal_ablation_2000_to_2010_gt_per_yr_mean_err,Frontal_ablation_2010_to_2020_gt_per_yr_mean,Frontal_ablation_2010_to_2020_gt_per_yr_mean_err,RGIId,Number_of_children
331,-64.86269804683127,67.1892295762147,,0.012361323491940718,0.010095856627280266,0.009857686063043656,0.0077013423489994135,RGI60-04.05514,
332,-69.41987312128376,69.50896425778572,,4.797865379922781e-05,4.8728654089490434e-05,0.0,0.0,RGI60-04.06126,
333,-68.95761264058758,69.54835691698773,,6.287207822517438e-05,9.183930496247114e-05,0.0,0.0,RGI60-04.06168,
334,-73.59414175590524,71.20059793274758,,2.188218221910226e-05,5.0033075185714256e-05,0.0,0.0,RGI60-04.06579,
335,-73.57060146420511,71.23943172641917,,3.910838249163435e-05,3.971574993344549e-05,0.0,0.0,RGI60-04.06580,
336,-74.13682369525367,71.20928392799965,,0.000340054163308765,0.0002581068367957012,6.324047908320435e-06,7.923825916382807e-05,RGI60-04.06598,
337,-74.02632406302637,71.27893854066654,,0.0005084551158390988,0.0004578427157796083,0.000313411628461295,0.00030140150764217924,RGI60-04.06606,
338,-73.95910018002573,71.36299576843277,,8.782103180279846e-05,0.00011495154166758381,0.00015850551235286985,0.0002289839218592989,RGI60-04.06670,
339,-73.961761870306,71.37768682679602,,2.835220276699535e-05,4.4797718624306775e-05,0.0,0.0,RGI60-04.06671,
340,-73.87171399376338,71.44477964067798,,0.0004506005451252339,0.0002823355755643606,0.0004150872817256811,0.00030885569489214683,RGI60-04.06673,
341,-73.0027813772888,71.50731299200518,,6.9371189634971e-05,7.198246532877818e-05,8.507275179426478e-05,0.00010449549084816144,RGI60-04.06691,
342,-74.13963497901138,71.63323319562434,,0.0007380234545447909,0.0005087480433209267,0.0014623925963486153,0.0006994107058414324,RGI60-04.06746,
343,-74.53302890668034,71.59133998658781,,0.0003305459091170672,0.0002497733239958944,0.0005805002633575251,0.0003485360079707173,RGI60-04.06791,
344,-74.14497355656914,71.68767877296295,,5.123203514972243e-05,8.451934878165331e-05,2.292343350719689e-05,6.505327661760477e-05,RGI60-04.06802,
345,-74.26442968074377,71.58876479325991,,0.0025717019023048762,0.002026657504672212,0.0028561704997555064,0.001847911624854176,RGI60-04.06806,
346,-74.32230990538841,71.40236015913764,,0.0006311132426608207,0.0005633002869805148,0.0003967855183026442,0.0003021302218210638,RGI60-04.06810,
347,-74.60364635944946,71.54247312159035,,0.0013135259087213268,0.0011964455131836884,0.0008602208034100547,0.0007741518255996838,RGI60-04.06811,
348,-66.02768996380942,67.5769730256344,,0.007860183102075547,0.006465848896381637,0.007878025910905764,0.0051504426652873815,RGI60-04.06852,
349,-80.1167971539404,73.67807165381676,,0.005411874543447295,0.004674022004682436,0.00536606810787843,0.0033738865501446017,RGI60-04.07052,
350,-79.5904361781129,73.64000830435812,,0.007037216139479448,0.005877556054086857,0.008123488239343819,0.005453572018316375,RGI60-04.07104,
351,-52.51692315586193,65.87543646369019,,0.0001958374998691949,0.00022118983351751353,6.971417596983418e-05,7.129655502688658e-05,RGI60-05.00268,
352,-52.0792387484991,65.9694860723087,,0.0005456458771180917,0.0005471359305103976,0.00016201239564128805,0.0001643880277359206,RGI60-05.00310,
353,-52.25983935827752,65.84717001347107,,0.0001398531855913998,0.00010155263619593891,8.892068740873243e-05,9.708503802514408e-05,RGI60-05.00313,
354,-52.33882173495049,65.86716457238293,,0.00012800776731332827,0.0001240036740589487,0.0,0.0,RGI60-05.00319,
355,-52.31463276653778,65.8585225416112,,8.931793586014909e-05,8.711770449320656e-05,0.0,0.0,RGI60-05.00321,
356,-52.43698521412557,65.67731613455183,,0.008341593078534278,0.007914759694820403,0.003240938752570196,0.0018731561522220084,RGI60-05.00337,
357,-52.46833919149024,65.61768421303148,,0.0002182281602181341,0.00016648393046505604,0.0,0.0,RGI60-05.00340,
358,-52.43959836276429,65.64991464560423,,4.373987715849736e-05,0.00015411589485866408,0.00012075639928165572,0.00021904898980121458,RGI60-05.00355,
